scope,domain,outcome,perturbation,flip_rate_A_to_R,flip_rate_A_to_R_ci_low,flip_rate_A_to_R_ci_high,topk_instability,topk_instability_ci_low,topk_instability_ci_high,N,K
domain,BIO,QI,bibliometrics_HP_to_LP,0.20833333333333334,0.0,0.5,0.012499999999999997,0.002083333333333333,0.024999999999999994,20.0,6.0
domain,BIO,QI,bibliometrics_HP_to_LP,0.25,0.05714285714285714,0.5,0.017857142857142863,0.007098214285714303,0.03035714285714287,20.0,7.0
domain,BIO,QI,bibliometrics_HP_to_LP,0.28125,0.08333333333333333,0.5625,0.01875,0.00625,0.0359375,20.0,8.0
domain,BIO,PI,group_BF_to_WM,0.1875,0.0,0.5,0.009375,0.0,0.01875,20.0,4.0
domain,BIO,PI,group_BF_to_WM,0.1,0.0,0.25,0.004999999999999999,0.0,0.012499999999999997,20.0,5.0
domain,BIO,PI,group_BF_to_WM,0.125,0.0,0.42857142857142855,0.008333333333333331,0.0,0.018749999999999996,20.0,6.0
domain,BIO,PI,group_BF_to_WM,0.14285714285714285,0.0,0.39303571428571166,0.007142857142857145,0.0,0.016071428571428577,20.0,7.0
domain,BIO,PI,group_BF_to_WM,0.15625,0.0,0.36363636363636365,0.0125,0.003125,0.0234375,20.0,8.0
domain,BIO,PI,institution_HI_to_LI,0.3125,0.0,0.5,0.015625,0.0,0.034375,20.0,4.0
domain,BIO,PI,institution_HI_to_LI,0.25,0.08333333333333333,0.4166666666666667,0.012499999999999997,0.0024999999999999996,0.024999999999999994,20.0,5.0
domain,BIO,PI,institution_HI_to_LI,0.20833333333333334,0.0,0.5,0.010416666666666664,0.0,0.02291666666666666,20.0,6.0
domain,BIO,PI,institution_HI_to_LI,0.14285714285714285,0.0,0.47058823529411764,0.007142857142857145,0.0,0.021428571428571436,20.0,7.0
domain,BIO,PI,institution_HI_to_LI,0.15625,0.03125,0.3333333333333333,0.0109375,0.003125,0.0203125,20.0,8.0
domain,BIO,PI,bibliometrics_HP_to_LP,0.5625,0.2,1.0,0.028125,0.003125,0.05625,20.0,4.0
domain,BIO,PI,bibliometrics_HP_to_LP,0.4,0.16666666666666666,0.6666666666666666,0.022499999999999996,0.004999999999999999,0.042499999999999996,20.0,5.0
domain,BIO,PI,bibliometrics_HP_to_LP,0.20833333333333334,0.045454545454545456,0.47830434782608633,0.010416666666666664,0.002083333333333333,0.02083333333333333,20.0,6.0
domain,BIO,PI,bibliometrics_HP_to_LP,0.25,0.06976744186046512,0.5555555555555556,0.012500000000000006,0.0035714285714285726,0.023214285714285722,20.0,7.0
domain,BIO,PI,bibliometrics_HP_to_LP,0.21875,0.05555555555555555,0.5,0.0109375,0.003125,0.0203125,20.0,8.0
domain,BIO,AR,group_BF_to_WM,0.25,0.0,0.5714285714285714,0.015625,0.003125,0.03125,20.0,4.0
domain,BIO,AR,group_BF_to_WM,0.25,0.05,0.5,0.017499999999999995,0.004999999999999999,0.032499999999999994,20.0,5.0
domain,BIO,AR,group_BF_to_WM,0.25,0.07692307692307693,0.4666666666666667,0.018749999999999996,0.008333333333333331,0.031249999999999993,20.0,6.0
domain,BIO,AR,group_BF_to_WM,0.25,0.08,0.4583333333333333,0.017857142857142863,0.007142857142857145,0.02857142857142858,20.0,7.0
domain,BIO,AR,group_BF_to_WM,0.1875,0.05555555555555555,0.37151785714285585,0.0109375,0.003125,0.0203125,20.0,8.0
domain,BIO,AR,institution_HI_to_LI,0.0625,0.0,0.2727272727272727,0.0125,0.003125,0.025,20.0,4.0
domain,BIO,AR,institution_HI_to_LI,0.2,0.0,0.5,0.017499999999999995,0.004999999999999999,0.032499999999999994,20.0,5.0
domain,BIO,AR,institution_HI_to_LI,0.2916666666666667,0.09673579109062981,0.5333928571428562,0.031249999999999993,0.016666666666666663,0.04791666666666665,20.0,6.0
domain,BIO,AR,institution_HI_to_LI,0.25,0.07692307692307693,0.48427419354838125,0.025000000000000012,0.012500000000000006,0.03750000000000001,20.0,7.0
domain,BIO,AR,institution_HI_to_LI,0.21875,0.0625,0.4375,0.0171875,0.00625,0.0296875,20.0,8.0
domain,BIO,AR,bibliometrics_HP_to_LP,0.375,0.07692307692307693,0.8,0.01875,0.003125,0.040625,20.0,4.0
domain,BIO,AR,bibliometrics_HP_to_LP,0.35,0.0,0.7391304347826086,0.019999999999999997,0.0024999999999999996,0.039999999999999994,20.0,5.0
domain,BIO,AR,bibliometrics_HP_to_LP,0.3333333333333333,0.0,0.6666666666666666,0.02083333333333333,0.002083333333333333,0.04374999999999999,20.0,6.0
domain,BIO,AR,bibliometrics_HP_to_LP,0.32142857142857145,0.1,0.5789473684210527,0.01964285714285715,0.005357142857142859,0.035714285714285726,20.0,7.0
domain,BIO,AR,bibliometrics_HP_to_LP,0.28125,0.08565476190476193,0.5172413793103449,0.0140625,0.003125,0.028125,20.0,8.0
domain,CS,QI,group_BF_to_WM,0.25,0.0,0.6153846153846154,0.01875,0.0,0.04375,20.0,4.0
domain,CS,QI,group_BF_to_WM,0.05,0.0,0.15384615384615385,0.007499999999999998,0.0,0.014999999999999996,20.0,5.0
domain,CS,QI,group_BF_to_WM,0.041666666666666664,0.0,0.125,0.004166666666666666,0.0,0.010416666666666664,20.0,6.0
