outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
QI,BF_minus_WM,0.011964285714285696,0.0023214285714285555,0.02214285714285713,0.02124,80,gpt,0.005064768759625499
PI,HI_minus_LI,0.08239583333333333,0.05531250000000001,0.11041666666666665,0.0,80,gpt,0.014044829889168546
PI,HP_minus_LP,0.20697916666666666,0.17333072916666661,0.24219010416666645,0.0,80,gpt,0.017593209020756586
PI,BF_minus_WM,0.07135416666666668,0.04750000000000001,0.09677083333333335,0.0,80,gpt,0.012512163341969775
AR,HI_minus_LI,-0.013125000000000006,-0.0475,0.021249999999999984,0.444125,80,gpt,0.017537115929553017
AR,HP_minus_LP,0.094375,0.058124999999999996,0.13499999999999998,0.0,80,gpt,0.019948385733046928
AR,BF_minus_WM,0.033125,0.0012499999999999998,0.068125,0.057525,80,gpt,0.01729179375684067
QI,HI_minus_LI,0.00999999999999999,-0.005446428571428586,0.02633928571428571,0.23377,80,llama,0.008098982398262611
QI,HP_minus_LP,0.04071428571428569,0.024107142857142848,0.05955357142857141,0.0,80,llama,0.009118150104479647
QI,BF_minus_WM,-0.005000000000000006,-0.01428571428571429,0.004285714285714282,0.30011,80,llama,0.004780441617830178
PI,HI_minus_LI,0.16395833333333334,0.10093749999999999,0.2316666666666667,0.0,80,llama,0.03403202831599939
PI,HP_minus_LP,0.220625,0.15895833333333334,0.2886458333333334,0.0,80,llama,0.03347575553568509
PI,BF_minus_WM,0.001458333333333334,-0.013541666666666665,0.016354166666666663,0.849505,80,llama,0.007709758677662475
AR,HI_minus_LI,0.041875,0.013750000000000002,0.07625,0.004315,80,llama,0.016119700336050008
AR,HP_minus_LP,0.05062500000000001,0.015625000000000003,0.0925,0.006745,80,llama,0.01971902614452873
AR,BF_minus_WM,-0.0006249999999999991,-0.010015624999999992,0.007500000000000002,0.9961,80,llama,0.0045782360416610855
QI,HI_minus_LI,0.006160714285714278,-0.011071428571428586,0.020267857142857136,0.49244,80,olmo,0.00817946443437597
QI,HP_minus_LP,0.05366071428571426,0.03544642857142856,0.07348214285714286,0.0,80,olmo,0.009826045889813787
QI,BF_minus_WM,0.0006250000000000089,-0.007410714285714266,0.009375000000000007,0.873535,80,olmo,0.004288715325854053
PI,HI_minus_LI,0.007708333333333327,-0.014687500000000003,0.026145833333333323,0.493015,80,olmo,0.010594759231411977
PI,HP_minus_LP,0.058750000000000004,0.0396875,0.07895833333333332,0.0,80,olmo,0.010058614259218439
PI,BF_minus_WM,0.005625000000000001,-0.003854166666666664,0.016250000000000004,0.287365,80,olmo,0.005143371244298891
AR,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
AR,HP_minus_LP,0.0,0.0,0.0,1.0,80,olmo,0.0
AR,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
QI,HI_minus_LI,-0.003124999999999991,-0.029285714285714283,0.022591517857142696,0.819035,80,qwen,0.01336538396759093
QI,HP_minus_LP,0.03276785714285714,0.0043749999999999865,0.061517857142857124,0.02771,80,qwen,0.014677985555860243
QI,BF_minus_WM,0.008124999999999983,-0.018571428571428593,0.03419642857142856,0.55547,80,qwen,0.01358815933007822
PI,HI_minus_LI,0.05958333333333332,0.018333333333333323,0.10093749999999999,0.006765,80,qwen,0.021312578495097784
PI,HP_minus_LP,0.16104166666666667,0.11052083333333336,0.21260416666666665,0.0,80,qwen,0.026214259289927495
PI,BF_minus_WM,-0.0064583333333333385,-0.04885416666666668,0.03500260416666645,0.7641,80,qwen,0.021449728929107893
AR,HI_minus_LI,-0.015000000000000005,-0.050624999999999996,0.019999999999999997,0.40243,80,qwen,0.01817199821118585
AR,HP_minus_LP,0.07875,0.04562499999999999,0.115625,5e-06,80,qwen,0.018180159410811875
AR,BF_minus_WM,6.245004513516506e-18,-0.03937499999999998,0.03875000000000001,0.98269,80,qwen,0.020185061527296846
